Num,Products_Num,A_Pro/IS,Output,Bromide,Bromide_Num,Amine,Amine_Num,Product
462,1904-25-01-W6,2.291618676,0.14322616725,FC1=NC=CC(Br)=C1,B30,NC1=CC=CC=C1C,A01,Fc1nccc(Nc2c(C)cccc2)c1
479,1904-25-01-W23,2.027435491,0.1267147181875,N#CC1=C(Br)C=NC=C1,B31,NC1=CC=C(C)C=C1,A03,N#Cc1c(Nc2ccc(C)cc2)cncc1
485,1904-25-01-W29,2.317819567,0.1448637229375,FC1=CN=CC(Br)=C1,B29,OC1=CC=CC=C1N,A04,Fc1cc(Nc2c(O)cccc2)cnc1
486,1904-25-01-W30,2.533934596,0.15837091225,FC1=NC=CC(Br)=C1,B30,OC1=CC=CC=C1N,A04,Fc1nccc(Nc2c(O)cccc2)c1
489,1904-25-01-W33,6.457626048,0.403601628,CC1=CN=CC(Br)=C1,B25,NC1=CC=CC=C1F,A05,Fc1c(Nc2cc(C)cnc2)cccc1
490,1904-25-01-W34,3.768293303,0.2355183314375,CC1=NC=CC(Br)=C1,B26,NC1=CC=CC=C1F,A05,Fc1c(Nc2cc(C)ncc2)cccc1
491,1904-25-01-W35,4.009476276,0.25059226725,CC1=CC=CC(Br)=N1,B27,NC1=CC=CC=C1F,A05,Fc1c(Nc2nc(C)ccc2)cccc1
499,1904-25-01-W43,4.162700893,0.2601688058125,CC1=CC=CC(Br)=N1,B27,FC1=CC(N)=CC=C1,A06,Fc1cc(Nc2nc(C)ccc2)ccc1
502,1904-25-01-W46,2.091029989,0.1306893743125,FC1=NC=CC(Br)=C1,B30,FC1=CC(N)=CC=C1,A06,Fc1nccc(Nc2cc(F)ccc2)c1
505,1904-25-01-W49,7.019861697,0.4387413560625,CC1=CN=CC(Br)=C1,B25,NC1=CC=C(F)C=C1,A07,Fc1ccc(Nc2cc(C)cnc2)cc1
542,1904-25-01-W86,1.069727562,0.0668579726249999,FC1=NC=CC(Br)=C1,B30,NC1=C(C)C=CC=C1C,A11,Fc1nccc(Nc2c(C)cccc2C)c1
553,1904-25-01-W97,6.747053872,0.421690867,CC1=CN=CC(Br)=C1,B25,NC1=CC=CC=C1OC,A13,O(C)c1c(Nc2cc(C)cnc2)cccc1
555,1904-25-01-W99,5.176703612,0.32354397575,CC1=CC=CC(Br)=N1,B27,NC1=CC=CC=C1OC,A13,O(C)c1c(Nc2nc(C)ccc2)cccc1
559,1904-25-01-W103,2.609802074,0.163112629625,N#CC1=C(Br)C=NC=C1,B31,NC1=CC=CC=C1OC,A13,O(C)c1c(Nc2c(C#N)ccnc2)cccc1
578,1904-25-01-W122,4.951943168,0.309496448,CC1=NC=CC(Br)=C1,B26,CC(C1=CC=CC=C1N)=O,A16,O=C(C)c1c(Nc2cc(C)ncc2)cccc1
580,1904-25-01-W124,0.959615385,0.0599759615624999,FC1=CC(Br)=NC=C1,B28,CC(C1=CC=CC=C1N)=O,A16,Fc1cc(Nc2c(C(=O)C)cccc2)ncc1
589,1904-25-01-W133,2.339666942,0.146229183875,FC1=CN=CC(Br)=C1,B29,CC(C1=CC=C(N)C=C1)=O,A17,Fc1cc(Nc2ccc(C(=O)C)cc2)cnc1
591,1904-25-01-W135,1.420146798,0.0887591748749999,N#CC1=C(Br)C=NC=C1,B31,CC(C1=CC=C(N)C=C1)=O,A17,O=C(C)c1ccc(Nc2c(C#N)ccnc2)cc1
594,1904-25-01-W138,4.210669127,0.2631668204375,CC1=NC=CC(Br)=C1,B26,NC1=CC=C([N+]([O-])=O)C=C1,A18,O=[N+]([O-])c1ccc(Nc2cc(C)ncc2)cc1
595,1904-25-01-W139,5.770027624,0.3606267265,CC1=CC=CC(Br)=N1,B27,NC1=CC=C([N+]([O-])=O)C=C1,A18,O=[N+]([O-])c1ccc(Nc2nc(C)ccc2)cc1
619,1904-25-01-W163,1.331704394,0.0832315246249999,CC1=CC=CC(Br)=N1,B27,NC1=CC=CC=C1C(F)(F)F,A21,FC(F)(F)c1c(Nc2nc(C)ccc2)cccc1
